NAME,Elevation,Highest point,H_Elevation,Lowest point,L_Elevation
Alabama,500,Cheaha Mountain,2405,Gulf of Mexico,Sea level
Alaska,1900,Mt. McKinley,20320,Pacific Ocean,Sea level
Arizona,4100,Humphreys Peak,12633,Colorado River,70
Arkansas,650,Magazine Mountain,2753,Ouachita River,55
California,2900,Mt. Whitney,14494,Death Valley,–2822
Colorado,6800,Mt. Elbert,14433,Arkansas River,3350
Connecticut,500,Mt. Frissell,2454,,
Delaware,60,Ebright Road,447,,
D.C.,150,Tenleytown,410,,
Florida,100,Britton Hill,345,,
Georgia,600,Brasstown Bald,4784,Atlantic Ocean,Sea level
Hawaii,3030,"Puu Wekiu, Mauna Kea",13796,Pacific Ocean,Sea level
Idaho,5000,Borah Peak,12662,Snake River,710
Illinois,600,Charles Mound,1235,Mississippi River,279
Indiana,700,Franklin Township,"1,257",,
Iowa,1100,Hawkeye Point,1670,,
Osceola County,1670,Mississippi River,480,,
Kansas,2000,Mt. Sunflower,4039,Verdigris River,679
Kentucky,750,Black Mountain,4139,Mississippi River,257
Louisiana,100,Driskill Mountain,535,New Orleans,–82
Maine,600,Mt. Katahdin,5267,Atlantic Ocean,Sea level
Maryland,350,Backbone Mountain,3360,Atlantic Ocean,Sea level
Massachusetts,500,Mt. Greylock,3487,Atlantic Ocean,Sea level
Michigan,900,Mt. Arvon,1979,Lake Erie,572
Minnesota,1200,Eagle Mountain,2301,Lake Superior,600
Mississippi,300,Woodall Mountain,806,Gulf of Mexico,Sea level
Missouri,800,Taum Sauk Mountain,1772,St. Francis River,230
Montana,3400,Granite Peak,12799,Kootenai River,1800
Nebraska,2600,Panorama Point,5429,,
Nevada,5500,Boundary Peak,13140,Colorado River,479
New Hampshire,1000,Mt. Washington,6288,Atlantic Ocean,Sea level
New Jersey,250,High Point,1803,Atlantic Ocean,Sea level
New Mexico,5700,Wheeler Peak,13161,Red Bluff Reservoir,2842
New York,1000,Mt. Marcy,5344,Atlantic Ocean,Sea level
North Carolina,700,Mt. Mitchell,6684,Atlantic Ocean,Sea level
North Dakota,1900,White Butte,3506,Red River,750
Ohio,850,Campbell Hill,1549,Ohio River,455
Oklahoma,1300,Black Mesa,4973,Little River,289
Oregon,3300,Mt. Hood,11239,Pacific Ocean,Sea level
Pennsylvania,1100,Mt. Davis,3213,Delaware River,Sea level
Rhode Island,200,Jerimoth Hill,812,Atlantic Ocean,Sea level
South Carolina,350,Sassafras Mountain,3560,Atlantic Ocean,Sea level
South Dakota,2200,Harney Peak,7242,Big Stone Lake,966
Tennessee,900,Clingmans Dome,6643,Mississippi River,178
Texas,1700,Guadalupe Peak,8749,Gulf of Mexico,Sea level
Utah,6100,Kings Peak,13528,Beaverdam Wash,2000
Vermont,1000,Mt. Mansfield,4393,Lake Champlain,95
Virginia,950,Mt. Rogers,5729,Atlantic Ocean,Sea level
Washington,1700,Mt. Rainier,14410,Pacific Ocean,Sea level
West Virginia,1500,Spruce Knob,4861,Potomac River,240
Wisconsin,1050,Timms Hill,1951,Lake Michigan,579
Wyoming,6700,Gannett Peak,13804,Belle Fourche River,3099
